"","SD","HFD","DR","EX","DREX","cluster"
"Acy.3-methylglutaryl carnitine",0.102314285714286,0.0521285714285714,0.0408571428571429,0.0586833333333333,0.0502428571428571,4
"Acy.Acetyl carnitine",63.6,62.6428571428571,46.3571428571429,48.7833333333333,70.2,6
"Acy.Butyryl carnitine",6.48285714285714,7.59714285714286,7.43571428571429,9.34166666666667,13.4885714285714,2
"Acy.carnitine",450.571428571429,503.285714285714,478.1,804.833333333333,955.571428571429,2
"Acy.Dodecanoyl carnitine",1.91042857142857,1.554,1.55842857142857,2.15333333333333,2.01428571428571,3
"Acy.Dodecenoyl carnitine",0.346,0.311571428571429,0.337685714285714,0.358333333333333,0.423428571428571,2
"Acy.Hexadecadienoyl carnitine",0.889,1.068,0.622714285714286,1.151,1.43928571428571,2
"Acy.Hexadecanoyl carnitine",6.10857142857143,5.42857142857143,4.67285714285714,6.34833333333333,6.35714285714286,3
"Acy.Hexadecatrienoyl carnitine",0.608142857142857,0.778428571428571,0.511857142857143,0.792166666666667,0.725428571428571,5
"Acy.Hexadecenoyl carnitine",8.29714285714286,3.90428571428571,5.63171428571429,5.37166666666667,7.12714285714286,4
"Acy.Hydroxy-methylbutyryl carnitine",4.84714285714286,6.00571428571429,5.36857142857143,7.80333333333333,6.97857142857143,3
"Acy.Hydroxybutrylcarnitine",1.86314285714286,0.722142857142857,0.927285714285714,0.982166666666667,0.912857142857143,4
"Acy.Icosadecadienoyl carnitine",0.240142857142857,0.257428571428571,0.184914285714286,0.370333333333333,0.252,3
"Acy.Icosadecanoyl carnitine",0.203571428571429,0.202714285714286,0.183342857142857,0.316166666666667,0.28,3
"Acy.Icosadecenoyl carnitine",0.507,0.461,0.457142857142857,0.8045,0.648714285714286,3
"Acy.Octadecanoyl carnitine",3.03714285714286,3.08571428571429,2.57714285714286,3.785,3.03285714285714,3
"Acy.Octadecatrienoyl carnitine",0.395285714285714,0.451571428571429,0.2946,0.502666666666667,0.505571428571429,2
"Acy.Octadecedienoyl carnitine",4.21714285714286,5.09571428571429,3.07142857142857,5.62833333333333,4.74,5
"Acy.Octadecenoyl carnitine",11.5257142857143,9.13714285714286,8.46428571428571,11.5533333333333,10.5714285714286,3
"Acy.Pentanoyl carnitine",8.17,8.17428571428571,8.68428571428571,14.2666666666667,12.1171428571429,3
"Acy.propionyl carnitine",3.90714285714286,3.67714285714286,3.66857142857143,4.88333333333333,6.61428571428571,2
"Acy.Tetradecadienoyl carnitine",0.344428571428571,0.392285714285714,0.310985714285714,0.4805,0.437142857142857,3
"Acy.Tetradecanoyl carnitine",5.73714285714286,4.78714285714286,4.63714285714286,5.91333333333333,6.71142857142857,2
"Acy.Tetradecenoyl carnitine",4.49142857142857,3.26142857142857,3.568,4.30833333333333,4.82,3
"Untar.(E)-5-HYDROXY-3-ISOBUTYL-6-(3-METHYLBENZYLIDENE)-1,6-DIHYDROPYRAZIN-2(3H)-ONE",12.6103106115139,10.7881648018478,8.92959036585985,18.8400410496822,16.1493165010112,3
"Untar.1-STEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE",21.7221816897431,22.019229056127,22.5716590929226,22.7948520612627,23.4414802298085,2
"Untar.10-Hydroxydecanoic acid",19.9258300428611,19.2829669576037,19.6247776064253,19.6056834452433,19.4331585477436,4
"Untar.2-AMINO-2-METHYLPROPANOATE",23.561254836718,22.9658685357278,22.9389573636146,22.1150507687862,22.4634116809828,7
